Restaurante,Puntaje
Can Sole,"4,0"
Abasolo Etxea,"4,5"
Yamadori,"4,0"
Senyor Vermut,"4,0"
Usagui,"4,5"
Bar Pinotxo,"4,5"
La Barca del Salamanca,"3,5"
Hard Rock Cafe,"4,0"
Pulpería A'Gudiña,"4,0"
Restaurante Filigrana,"4,5"
Rio Dragon,"4,5"
Jobs Restaurant,"5,0"
Agreste de Fabio & Roser,"4,5"
Casa Jordi,"4,5"
Sense Pressa,"4,5"
El Tiet Taver-Teca Taverna Gastronomica,"4,5"
Xemei,"4,0"
Tandoor,"4,0"
Las Delicias Del Carmelo,"4,0"
La Desayuneria - Comte de Urgell,"4,0"
Chez Coco,"4,0"
Pura Brasa Rambla,"4,0"
Salsalada,"3,5"
Casa Masana,"3,5"
el tianguis,"4,0"
La Llimona,"4,5"
Parking Pizza,"4,0"
Rangoli,"4,0"
Tapa Tapa,"3,5"
L'Escamarlà,"3,0"
Can Ramonet,"3,5"
Casa Alfonso,"4,0"
Núria,"3,5"
Restaurante Biocenter,"4,0"
La Monroe,"4,0"
Sushiraku,"4,5"
Pizzeria La Briciola,"4,0"
Parking Pizza,"4,0"
La Balsa,"4,0"
La Venta,"4,0"
Ándele Santa Fe,"4,5"
BRO,"4,5"
Asador de Aranda Pau Claris,"4,0"
Antigua,"4,0"
Can Travi Nou,"4,0"
LomoAlto BCN,"4,0"
La Lola de las Arenas,"4,0"
Ten's,"4,0"
Takashi Ochiai Pastisseria,"4,0"
The Wild Rover Irish Pub Barcelona,"4,5"
Gresca,"4,0"
La Gavina,"3,5"
Restaurant Centfocs,"3,5"
La Tramoia,"3,5"
Fragments Café,"3,5"
El Cangrejo Loco,"4,0"
Abrassame,"4,0"
Casa de Tapas Cañota,"4,0"
Shanghai,"4,0"
La Pizza del Born,"4,0"
O MEU LAR,"4,5"
Piras Braseria,"4,5"
Villa Caprice,"4,5"
Tapa Tapa,"3,0"
Ca l'isidre,"4,5"
Gatsby Barcelona,"3,5"
Mordisco,"3,5"
Flamant,"3,5"
Mordisco,"3,5"
Bar Celta Pulperia,"4,0"
Orio Gòtic,"4,0"
La Cholita,"4,5"
BLAI TONIGHT,"4,5"
Capet,"4,5"
Sartoria Panatieri Gràcia,"4,5"
Ristorante Meraviglioso,"4,5"
Bar Restaurante Guixot,"4,5"
L'olivera,"4,5"
El Mexicano de Barcelona,"4,0"
Craft Barcelona,"4,5"
Pastelerias Mauri,"4,0"
Tramonti 1980,"4,0"
L' Olla de Si Chuan,"4,0"
La Muscleria,"4,0"
Bar Mut,"4,0"
El Mercader de L'Eixample,"4,0"
Madre Lievito,"4,0"
3 Focs,"4,0"
"SAGÀS - Pagesos, Cuiners & Co.","4,0"
Casa Mari y Rufo,"4,0"
Ukai Eixample,"4,0"
Shôko Restaurante & Lounge Club,"4,0"
Nakashita,"4,0"
Colmado,"4,0"
Petra,"4,5"
El Boliche del Gordo Cabrera,"4,5"
Sagardi BCN Centre,"4,0"
McDonald's,"3,0"
Trópico,"4,0"
Surf House Barcelona,"4,0"
11 Nudos - Barcelona,"4,0"
Sirvent Barcelona,"4,0"
Informal,"4,5"
Wok to Walk,"4,5"
Casa Guinart,"4,0"
Divinus,"3,5"
Il Commendatore,"3,5"
Llamber,"4,5"
La Foga,"4,5"
Majide,"4,0"
Elche,"4,0"
Frankie Gallo Cha Cha Cha,"4,0"
Entrepanes Diaz,"4,0"
Cafè de la Pedrera,"4,0"
Roig Robí,"4,0"
Restaurante Can Pineda,"4,5"
Mano Rota Restaurante En Barcelona Fusion Cocina Japonesa Y Peruana,"4,0"
Hummus Barcelona Vegetarian Street Food,"4,5"
La Taberna de la Ronda,"4,5"
Farga Diagonal,"3,5"
Koku Kitchen Ramen & Gyoza Bar,"4,5"
Macchina Pasta Bar,"4,5"
La Cachapera Bcn,"4,5"
La Catrina Fusion,"4,5"
La Taverna del Clínic,"4,0"
El Rodizio,"3,5"
Bestial,"3,5"
La Hacienda,"3,5"
Chalito,"4,0"
Bodega Joan,"4,0"
Las Mañanitas - Tex Mex Bcn,"4,0"
Món Viêt,"4,0"
Locavore Barcelona,"5,0"
LAB Restaurant,"5,0"
Izakaya Ramen House,"4,5"
Restaurant La Estrella 1924,"4,5"
The fish & chips shop,"4,5"
Bar Centro Burgers & Craft Beer,"4,5"
Vic Braseria,"4,5"
Vivant,"4,5"
Messié Sin Gluten,"4,5"
Picnic Restaurant,"4,5"
En Ville,"4,5"
Bardeni,"4,5"
Bordeaux - Cuina Oberta,"4,5"
Suculent,"4,0"
Rosa del Raval,"4,0"
Sagardi BCN Gòtic,"4,0"
Can Cortes,"3,5"
A33 Pizzeria,"4,5"
El Cocinero de Damasco,"4,5"
Restaurante Spaccanapoli Barcelona,"4,5"
Tapa Tapa C.C. Arenas,"3,5"
Hidden Cafe Barcelona,"4,5"
BarcelonaNubar,"3,5"
Taller de Tapas - Josep Oriol,"4,0"
Firo Tast,"4,0"
Julivert Meu,"4,0"
Wine Mood,"5,0"
La Masia Can POrtell,"3,0"
Costa Pacifico,"4,5"
Kao Dim Sum,"3,5"
Restaurante Mexicano Chilam Balam,"3,5"
Kurz & Gut,"3,0"
El Tío Che,"4,0"
The Chipiron,"3,5"
Pomarada,"4,0"
L'Antic Bocoi del Gotic,"4,5"
"La Tagliatella C.C. Las Arenas, Barcelona","3,5"
"La Tagliatella C.C. Diagonal Mar, Barcelona","3,5"
L'Òstia,"4,0"
Euskal Etxea,"4,0"
Arc Iris Restaurant Vegetarià,"4,5"
Restaurante MIAN,"4,5"
CrosMas,"4,5"
EatMyTrip Brunch & Bakery Barcelona,"4,5"
Almalibre Açaí House Barcelona,"5,0"
Agüelo Taberna Barcelona,"4,0"
König Barcelona Born,"3,5"
La Llibertaria,"4,5"
La Balmesina,"4,0"
LeccaBaffi,"4,5"
Bilbao Berria La Barra,"4,0"
Asador de Aranda Londres,"4,0"
RESTAURANTE MEXCLA,"4,0"
Restaurante Salero,"4,0"
